City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
285,Roald,NO,51.17,light rain,62.5833,6.1333,Flem Cabins
289,Mungaa,TZ,63.64,broken clouds,-4.9667,34.8833,
291,Bom Jesus,BR,82.65,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
292,Anshun,CN,55.74,overcast clouds,26.25,105.9333,安顺麦吉风格酒店
293,Dinguiraye,GN,73.71,overcast clouds,11.3,-10.7167,
294,Natal,BR,78.46,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
295,Ayolas,PY,68.05,light rain,-27.4,-56.9,Hotel Ayolas
296,Nemuro,JP,59.43,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
299,San Patricio,US,86.05,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
300,Robe,AU,53.55,overcast clouds,-37.1833,139.75,Harbour View Motel
301,Weligama,LK,78.26,overcast clouds,5.9667,80.4167,Weligama Bay Resort
302,Fonte Boa,BR,78.57,scattered clouds,-2.4959,-66.2662,
303,Wanaka,NZ,55.11,heavy intensity rain,-44.7,169.15,Wanaka Homestead Lodge and Cottages
305,Pisco,PE,62.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
306,Andros Town,BS,75.16,broken clouds,24.7,-77.7667,Hanks place
307,Manokwari,ID,83.86,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
308,Roseburg,US,60.64,overcast clouds,43.2165,-123.3417,"Holiday Inn Express Roseburg, an IHG Hotel"
309,Rapallo,IT,58.87,clear sky,44.3511,9.2297,Hotel Portofino
310,Irati,BR,57.02,overcast clouds,-25.4672,-50.6511,Hotel Colonial
311,Carbonia,IT,58.01,clear sky,39.1672,8.5222,Lu 'Hotel
312,Buala,SB,84.88,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
313,Saint-Augustin,CA,50.11,scattered clouds,51.226,-58.6502,
314,Arraial Do Cabo,BR,67.73,light rain,-22.9661,-42.0278,Pousada Porto Praia
315,Kaspiyskiy,RU,51.94,scattered clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
316,Hervey Bay,AU,82.04,few clouds,-25.2986,152.8535,Shelly Bay Resort
317,Tel Aviv-Yafo,IL,71.69,clear sky,32.0805,34.7805,Ben Yehuda Apartments
318,Aquiraz,BR,84.22,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
320,Kupang,ID,83.5,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
323,Arlit,NE,83.79,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
327,Port Hawkesbury,CA,55.58,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
329,Alamos,MX,89.71,clear sky,27.0167,-108.9333,Luz del Sol
330,Iquitos,PE,80.64,few clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
332,Wawa,NG,77.31,overcast clouds,9.9022,4.4192,
333,Iwanai,JP,53.89,overcast clouds,42.9744,140.5089,いわない高原ホテル
337,Hambantota,LK,79.45,overcast clouds,6.1241,81.1185,Bungalow 63
338,Wynyard,AU,56.98,clear sky,-41.0,145.7167,Burnie Airport Motel
339,Alexandria,EG,74.89,clear sky,31.2156,29.9553,Royal Crown Hotel
340,Pacific Grove,US,79.99,clear sky,36.6177,-121.9166,Lovers Point Inn
341,Pervomayskoye,RU,57.34,overcast clouds,43.919,46.7102,
344,Katherine,AU,86.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
346,Maldonado,UY,60.22,overcast clouds,-34.6667,-54.9167,La Cimarrona
347,El Cocuy,CO,53.47,overcast clouds,6.4078,-72.4446,Casa Museo la Posada del Molino
348,Kijang,KR,72.88,overcast clouds,35.2442,129.2139,Samyang Beach Villa
349,Mangrol,IN,81.77,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
350,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
352,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
355,Vanimo,PG,82.04,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
357,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
358,Lata,PT,66.06,few clouds,40.1629,-8.3327,Casa Maquia
359,Tual,ID,82.81,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
360,Waipawa,NZ,59.45,broken clouds,-41.4122,175.5153,Tora Coastal Walk
361,Kourou,GF,83.1,light rain,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
362,Kutum,SD,83.1,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
363,Kyaikkami,MM,79.72,overcast clouds,16.08,97.5675,St. joseph catholic church
364,Quatre Cocos,MU,71.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
365,Pijijiapan,MX,79.97,broken clouds,15.7011,-93.23,Hotel Rosita
367,Sabang,ID,82.24,light rain,5.8933,95.3214,Hotel Citra
368,Vryburg,ZA,64.18,clear sky,-26.9566,24.7284,The Times Premier Lodge
369,Carson City,US,71.44,clear sky,39.1638,-119.7674,Courtyard by Marriott Carson City
