City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Astoria,US,2021-10-11 00:09:54,46.1879,-123.8313,56.55,76,40,5.01,scattered clouds
237,Ambilobe,MG,2021-10-11 00:09:55,-13.2,49.05,71.55,65,53,3.04,broken clouds
238,Vila,PT,2021-10-11 00:09:55,42.0304,-8.1588,53.71,65,75,4.74,broken clouds
239,Thoen,TH,2021-10-11 00:09:55,17.6129,99.2161,74.08,99,100,1.63,overcast clouds
240,Sakakah,SA,2021-10-11 00:09:56,29.9697,40.2064,77.18,19,2,6.44,clear sky
241,Maple Creek,CA,2021-10-11 00:09:56,49.9168,-109.4848,60.1,26,27,22.77,scattered clouds
242,Vila Franca Do Campo,PT,2021-10-11 00:09:56,37.7167,-25.4333,70.21,88,100,10.94,overcast clouds
243,Karmala,IN,2021-10-11 00:09:57,18.4167,75.2,74.37,72,79,2.26,broken clouds
244,Auki,SB,2021-10-11 00:09:57,-8.7676,160.7034,81.12,78,100,3.33,overcast clouds
245,Fortuna,US,2021-10-11 00:09:57,40.5982,-124.1573,62.19,67,64,4.0,broken clouds
246,Chipinge,ZW,2021-10-11 00:09:58,-20.1883,32.6236,54.05,87,100,5.5,overcast clouds
247,Namibe,AO,2021-10-11 00:09:58,-15.1961,12.1522,68.79,87,77,1.7,broken clouds
248,Talnakh,RU,2021-10-11 00:09:59,69.4865,88.3972,23.29,95,96,8.28,light snow
249,La Ronge,CA,2021-10-11 00:09:59,55.1001,-105.2842,49.44,57,100,6.04,overcast clouds
250,Cochrane,CA,2021-10-11 00:10:00,51.1834,-114.4687,36.86,10,100,8.66,overcast clouds
251,Hailey,US,2021-10-11 00:10:00,43.5196,-114.3153,55.26,42,40,9.22,scattered clouds
252,Sawtell,AU,2021-10-11 00:10:00,-30.3833,153.1,68.18,88,75,5.75,broken clouds
253,Kalmunai,LK,2021-10-11 00:09:17,7.4167,81.8167,79.77,78,99,3.36,light rain
254,Mar Del Plata,AR,2021-10-11 00:06:17,-38.0023,-57.5575,58.08,60,40,10.0,scattered clouds
255,Asyut,EG,2021-10-11 00:10:01,27.181,31.1837,82.31,25,52,5.84,broken clouds
256,Kavieng,PG,2021-10-11 00:10:02,-2.5744,150.7967,84.13,69,54,6.33,broken clouds
257,Lahaina,US,2021-10-11 00:10:03,20.8783,-156.6825,83.95,82,11,11.77,few clouds
258,Fairbanks,US,2021-10-11 00:10:03,64.8378,-147.7164,37.6,94,90,5.75,light rain
259,Verkhnyaya Inta,RU,2021-10-11 00:10:04,65.9811,60.3094,29.48,59,90,8.05,overcast clouds
